,Unnamed: 0,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
4,4,0.8138411,0.6742857,0.27285552,0.020913934,144.0,2,session_E,3,2,001-2014,ACM+TGSP+SVM(3 elect)
5,5,0.871885,0.7188435,0.2305285,0.014970064,144.0,2,session_T,3,2,001-2014,ACM+TGSP+SVM(3 elect)
12,12,0.6177055,0.53183675,0.1089922,0.008136511,144.0,2,session_E,3,2,001-2014,FgMDM(3 elect)
13,13,0.6522613,0.5641497,0.096385956,0.008057403,144.0,2,session_T,3,2,001-2014,FgMDM(3 elect)
0,0,0.9788629,0.97333336,0.06826711,0.0041789054,144.0,3,session_E,3,2,001-2014,Cov+EN(3 elect)
1,1,0.9813787,0.98156464,0.07075815,0.0044779303,144.0,3,session_T,3,2,001-2014,Cov+EN(3 elect)
2,2,0.9765077,0.97333336,0.015226746,0.002502346,144.0,3,session_E,3,2,001-2014,CSP+LDA(3 elect)
3,3,0.9775862,0.97789115,0.016772509,0.0027358532,144.0,3,session_T,3,2,001-2014,CSP+LDA(3 elect)
4,4,1.0,1.0,0.5296315,0.030687522,144.0,3,session_E,3,2,001-2014,ACM+TGSP+SVM(3 elect)
5,5,1.0,0.9883673,0.460805,0.028624153,144.0,3,session_T,3,2,001-2014,ACM+TGSP+SVM(3 elect)
12,12,0.9795836,0.9714286,0.10696211,0.008478689,144.0,3,session_E,3,2,001-2014,FgMDM(3 elect)
13,13,0.9769197,0.9693197,0.10979362,0.008943987,144.0,3,session_T,3,2,001-2014,FgMDM(3 elect)
0,0,0.755357,0.742449,0.08556409,0.006112051,144.0,4,session_E,3,2,001-2014,Cov+EN(3 elect)
1,1,0.7782381,0.7478231,0.086524054,0.0058743,144.0,4,session_T,3,2,001-2014,Cov+EN(3 elect)
2,2,0.7437418,0.7209524,0.026152944,0.0042256834,144.0,4,session_E,3,2,001-2014,CSP+LDA(3 elect)
3,3,0.76847947,0.7347619,0.025888633,0.004105234,144.0,4,session_T,3,2,001-2014,CSP+LDA(3 elect)
4,4,0.9983134,0.7961905,0.27454004,0.015296889,144.0,4,session_E,3,2,001-2014,ACM+TGSP+SVM(3 elect)
5,5,0.94064605,0.8414966,0.37857985,0.021308374,144.0,4,session_T,3,2,001-2014,ACM+TGSP+SVM(3 elect)
12,12,0.76913655,0.74707484,0.13004847,0.010974407,144.0,4,session_E,3,2,001-2014,FgMDM(3 elect)
13,13,0.7799372,0.74482995,0.1315773,0.010956669,144.0,4,session_T,3,2,001-2014,FgMDM(3 elect)
0,0,0.65528923,0.62680274,0.087267876,0.006133604,144.0,5,session_E,3,2,001-2014,Cov+EN(3 elect)
1,1,0.6378465,0.5907483,0.086512566,0.006027126,144.0,5,session_T,3,2,001-2014,Cov+EN(3 elect)
2,2,0.6541304,0.6182993,0.026391124,0.004213619,144.0,5,session_E,3,2,001-2014,CSP+LDA(3 elect)
3,3,0.6285051,0.61190474,0.025960779,0.0040744306,144.0,5,session_T,3,2,001-2014,CSP+LDA(3 elect)
4,4,0.9383044,0.8123129,0.4177367,0.024446249,144.0,5,session_E,3,2,001-2014,ACM+TGSP+SVM(3 elect)
5,5,0.9993992,0.88462585,0.45208988,0.025217008,144.0,5,session_T,3,2,001-2014,ACM+TGSP+SVM(3 elect)
12,12,0.6605774,0.6180952,0.13388744,0.011081124,144.0,5,session_E,3,2,001-2014,FgMDM(3 elect)
13,13,0.6436031,0.5910884,0.13132258,0.010995197,144.0,5,session_T,3,2,001-2014,FgMDM(3 elect)
0,0,0.70063835,0.6321769,0.13232689,0.0070680617,144.0,6,session_E,3,2,001-2014,Cov+EN(3 elect)
1,1,0.74954003,0.7235374,0.13239531,0.00732193,144.0,6,session_T,3,2,001-2014,Cov+EN(3 elect)
2,2,0.6971786,0.63040817,0.026703406,0.004110527,144.0,6,session_E,3,2,001-2014,CSP+LDA(3 elect)
3,3,0.7433715,0.68544215,0.026456928,0.0040822504,144.0,6,session_T,3,2,001-2014,CSP+LDA(3 elect)
4,4,0.9508616,0.71795917,0.3044682,0.016303778,144.0,6,session_E,3,2,001-2014,ACM+TGSP+SVM(3 elect)
5,5,0.90987754,0.78136057,0.31781572,0.01664133,144.0,6,session_T,3,2,001-2014,ACM+TGSP+SVM(3 elect)
12,12,0.7003296,0.63462585,0.21250764,0.015962934,144.0,6,session_E,3,2,001-2014,FgMDM(3 elect)
13,13,0.743457,0.71789116,0.21537447,0.016279697,144.0,6,session_T,3,2,001-2014,FgMDM(3 elect)
0,0,0.74478275,0.7191157,0.12079282,0.007276344,144.0,7,session_E,3,2,001-2014,Cov+EN(3 elect)
1,1,0.78700376,0.7560544,0.11991672,0.0071819304,144.0,7,session_T,3,2,001-2014,Cov+EN(3 elect)
2,2,0.7449747,0.6797959,0.02840519,0.0043658735,144.0,7,session_E,3,2,001-2014,CSP+LDA(3 elect)
3,3,0.7665676,0.7507483,0.026987696,0.0041772844,144.0,7,session_T,3,2,001-2014,CSP+LDA(3 elect)
4,4,0.9499823,0.85387754,0.20170775,0.010936404,144.0,7,session_E,3,2,001-2014,ACM+TGSP+SVM(3 elect)
5,5,1.0,0.82462585,0.74566066,0.03373017,144.0,7,session_T,3,2,001-2014,ACM+TGSP+SVM(3 elect)
12,12,0.74842083,0.66176873,0.20248394,0.01636982,144.0,7,session_E,3,2,001-2014,FgMDM(3 elect)
13,13,0.78795505,0.75510204,0.19813447,0.016116714,144.0,7,session_T,3,2,001-2014,FgMDM(3 elect)
0,0,0.9472558,0.937551,0.13329044,0.0071107387,144.0,8,session_E,3,2,001-2014,Cov+EN(3 elect)
1,1,0.9509773,0.9423129,0.13291106,0.0070435046,144.0,8,session_T,3,2,001-2014,Cov+EN(3 elect)
2,2,0.9423149,0.9337415,0.026789093,0.0041178702,144.0,8,session_E,3,2,001-2014,CSP+LDA(3 elect)
