,Unnamed: 0,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
8,8,0.760979,0.6642857,0.07834377,0.010293866,144.0,6,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.77028704,0.7406803,0.1670804,0.020800162,144.0,6,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.6871842,0.5857143,0.13159585,0.008544445,144.0,6,session_E,3,2,001-2014,MDM
11,11,0.71262383,0.70292515,0.13254905,0.008808565,144.0,6,session_T,3,2,001-2014,MDM
12,12,0.7003296,0.63462585,0.21250764,0.015962934,144.0,6,session_E,3,2,001-2014,FgMDM
13,13,0.743457,0.71789116,0.21537447,0.016279697,144.0,6,session_T,3,2,001-2014,FgMDM
14,14,0.6622932,0.58646256,0.025421286,0.0039307117,144.0,6,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.7472276,0.7112925,0.028995514,0.004539585,144.0,6,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.74478275,0.7191157,0.12079282,0.007276344,144.0,7,session_E,3,2,001-2014,Cov+EN
1,1,0.78700376,0.7560544,0.11991672,0.0071819304,144.0,7,session_T,3,2,001-2014,Cov+EN
2,2,0.7449747,0.6797959,0.02840519,0.0043658735,144.0,7,session_E,3,2,001-2014,CSP+LDA
3,3,0.7665676,0.7507483,0.026987696,0.0041772844,144.0,7,session_T,3,2,001-2014,CSP+LDA
4,4,0.9499823,0.85387754,0.20170775,0.010936404,144.0,7,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,1.0,0.82462585,0.74566066,0.03373017,144.0,7,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.9787565,0.79734695,0.3285436,0.015564394,144.0,7,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.84725475,0.7914966,0.06261806,0.007850265,144.0,7,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.82593715,0.7906803,0.034452774,0.0050621987,144.0,7,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.79650897,0.76408166,0.09297447,0.012090397,144.0,7,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.7318001,0.6614966,0.117754176,0.008359957,144.0,7,session_E,3,2,001-2014,MDM
11,11,0.74183613,0.7089796,0.119267605,0.008568764,144.0,7,session_T,3,2,001-2014,MDM
12,12,0.74842083,0.66176873,0.20248394,0.01636982,144.0,7,session_E,3,2,001-2014,FgMDM
13,13,0.78795505,0.75510204,0.19813447,0.016116714,144.0,7,session_T,3,2,001-2014,FgMDM
14,14,0.7179517,0.6339456,0.025744343,0.0039868355,144.0,7,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.72159916,0.69061226,0.025599003,0.0039688586,144.0,7,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.9472558,0.937551,0.13329044,0.0071107387,144.0,8,session_E,3,2,001-2014,Cov+EN
1,1,0.9509773,0.9423129,0.13291106,0.0070435046,144.0,8,session_T,3,2,001-2014,Cov+EN
2,2,0.9423149,0.9337415,0.026789093,0.0041178702,144.0,8,session_E,3,2,001-2014,CSP+LDA
3,3,0.94905084,0.9442177,0.026380872,0.0040593147,144.0,8,session_T,3,2,001-2014,CSP+LDA
4,4,1.0,0.96489793,0.48806295,0.024263334,144.0,8,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,1.0,0.95462584,0.8690504,0.040442944,144.0,8,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.9600851,0.9497959,0.033404686,0.0049296855,144.0,8,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.96525335,0.92557824,0.06319127,0.0078475,144.0,8,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.9523875,0.9480272,0.078281924,0.010619735,144.0,8,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.96074325,0.9516327,0.034098722,0.0050466536,144.0,8,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.9341709,0.9261224,0.13121228,0.00845747,144.0,8,session_E,3,2,001-2014,MDM
11,11,0.92863965,0.9259864,0.13153915,0.0084450245,144.0,8,session_T,3,2,001-2014,MDM
12,12,0.9499666,0.9346939,0.21205053,0.016027832,144.0,8,session_E,3,2,001-2014,FgMDM
13,13,0.95278597,0.9452381,0.20974211,0.015749693,144.0,8,session_T,3,2,001-2014,FgMDM
14,14,0.9349626,0.9185034,0.025290584,0.0039281845,144.0,8,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.8978847,0.8655102,0.029121542,0.0045574666,144.0,8,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.9572647,0.9489796,0.069308,0.0038020134,144.0,9,session_E,3,2,001-2014,Cov+EN
1,1,0.84824353,0.8287755,0.07080345,0.0038891316,144.0,9,session_T,3,2,001-2014,Cov+EN
2,2,0.9531677,0.9452381,0.014473295,0.002358532,144.0,9,session_E,3,2,001-2014,CSP+LDA
3,3,0.8436615,0.8414966,0.014633274,0.0023966313,144.0,9,session_T,3,2,001-2014,CSP+LDA
4,4,1.0,0.97795916,0.56372154,0.033740662,144.0,9,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,1.0,0.91414964,0.60713845,0.037535477,144.0,9,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.98385274,0.9617687,0.07312026,0.008357048,144.0,9,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.92588294,0.86945575,0.4396059,0.03239708,144.0,9,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.9626416,0.96659863,0.20839262,0.030027533,144.0,9,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.8984782,0.86693877,0.17541333,0.022810508,144.0,9,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.93752944,0.93482995,0.07883849,0.0046584606,144.0,9,session_E,3,2,001-2014,MDM
11,11,0.77270585,0.7615646,0.077007964,0.004558563,144.0,9,session_T,3,2,001-2014,MDM
12,12,0.9584736,0.95088434,0.10586691,0.0077890395,144.0,9,session_E,3,2,001-2014,FgMDM
13,13,0.8489559,0.8289796,0.10757451,0.007866859,144.0,9,session_T,3,2,001-2014,FgMDM
14,14,0.95239794,0.9415646,0.014256191,0.0022871494,144.0,9,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.84055114,0.8371429,0.026522875,0.004331827,144.0,9,session_T,3,2,001-2014,Vectorize+LDA
